card_name_a,card_name_b,games,wins,win_rate,win_lift_vs_baseline
Scrooge McDuck - Resourceful Miser,Unconventional Tool,204,154,0.7549019607843137,0.15859589218273062
Sapphire Coil,Unconventional Tool,224,169,0.7544642857142857,0.15815821711270261
Basil's Magnifying Glass,Scrooge McDuck - Resourceful Miser,178,134,0.7528089887640449,0.1565029201624618
Brawl,Sisu - Empowered Sibling,101,76,0.7524752475247525,0.1561691789231694
Fishbone Quill,Sisu - Daring Visitor,246,185,0.7520325203252033,0.1557264517236202
Gold Coin,Oswald - The Lucky Rabbit,149,112,0.7516778523489933,0.15537178374741023
Fishbone Quill,Sapphire Coil,304,228,0.75,0.15369393139841692
Basil's Magnifying Glass,Unconventional Tool,124,93,0.75,0.15369393139841692
Might Solve a Mystery,Sisu - Empowered Sibling,52,39,0.75,0.15369393139841692
Basil's Magnifying Glass,Ruby Chromicon,36,27,0.75,0.15369393139841692
Sisu - Empowered Sibling,Tamatoa - Happy as a Clam,16,12,0.75,0.15369393139841692
Diablo - Obedient Raven,Fire the Cannons!,12,9,0.75,0.15369393139841692
Sail the Azurite Sea,Tipo - Growing Son,12,9,0.75,0.15369393139841692
Christopher Robin - Joining the Fun,Diablo - Obedient Raven,8,6,0.75,0.15369393139841692
Diablo - Devoted Herald,Mowgli - Man Cub,8,6,0.75,0.15369393139841692
Diablo - Obedient Raven,Pete - Games Referee,8,6,0.75,0.15369393139841692
Doc - Bold Knight,John Smith - Skillful Explorer,8,6,0.75,0.15369393139841692
Eilonwy - Princess of Llyr,Nani - Stage Manager,8,6,0.75,0.15369393139841692
Galactic Communicator,Maurice's Workshop,8,6,0.75,0.15369393139841692
Galactic Communicator,Pawpsicle,8,6,0.75,0.15369393139841692
Galactic Communicator,Scrooge McDuck - Resourceful Miser,8,6,0.75,0.15369393139841692
How Far I'll Go,Maui - Half-Shark,8,6,0.75,0.15369393139841692
John Smith - Skillful Explorer,Pete - Games Referee,8,6,0.75,0.15369393139841692
